decade,frame (verb--syntactic relation),support nouns,support noun counts,ground-truth emerging (query) nouns
1850,bear-dobj,"['arm', 'witness', 'fruit', 'date', 'proportion', 'weight', 'cross', 'image', 'flower', 'child', 'stamp', 'flag', 'son', 'seed', 'light', 'yoke']","[15759, 11063, 9954, 8203, 6270, 4692, 4660, 3158, 3070, 2785, 2754, 2433, 1773, 1563, 1545, 1500]","['wear', 'wall', 'failure', 'structure', 'baby', 'claw', 'housing', 'boy', 'cell', 'area']"
1850,become-nsubj,"['man', 'people', 'world', 'water', 'life', 'body', 'action', 'bill', 'child', 'power', 'person', 'city', 'son', 'surface', 'king', 'wind']","[3508, 1606, 1337, 1091, 1082, 992, 958, 948, 942, 895, 822, 622, 606, 526, 514, 482]","['china', 'level', 'japan', 'computer', 'worker', 'model', 'equipment', 'slope', 'user', 'control']"
1850,begin-dobj,"['acquaintance', 'action', 'ascent', 'course', 'descent', 'fight', 'fire', 'game', 'life', 'ministry', 'prayer', 'retreat', 'story', 'study', 'subject', 'world']","[255, 291, 464, 1059, 286, 404, 252, 219, 2188, 310, 283, 611, 490, 1044, 221, 1270]","['college', 'drive', 'step', 'stage', 'rise', 'climb', 'cycle', 'sequence', 'decline', 'student']"
1850,begin-nsubj,"['world', 'people', 'man', 'action', 'wind', 'sun', 'life', 'water', 'light', 'fire', 'child', 'power', 'fight', 'snow', 'enemy', 'father']","[5938, 1916, 1267, 990, 875, 871, 841, 823, 680, 647, 519, 487, 478, 459, 457, 449]","['round', 'film', 'construction', 'phone', 'shell', 'hunt', 'mixture', 'cycle', 'car', 'case']"
1850,belong-pobj_prep.to,"['class', 'family', 'church', 'king', 'house', 'crown', 'man', 'system', 'school', 'subject', 'person', 'race', 'people', 'body', 'city', 'court']","[13709, 12619, 10132, 4607, 3928, 3424, 3423, 3374, 3359, 3295, 3135, 3051, 2631, 2596, 2278, 2123]","['plane', 'worker', 'network', 'user', 'sequence', 'complex', 'level', 'national', 'core', 'patient']"
1850,break-dobj,"['heart', 'chain', 'bread', 'leg', 'line', 'seal', 'bone', 'window', 'bond', 'power', 'head', 'door', 'ice', 'ground', 'yoke', 'bridge']","[6740, 3733, 2676, 2660, 2439, 2248, 1939, 1890, 1837, 1609, 1530, 1381, 1372, 1359, 1222, 1202]","['fight', 'cycle', 'grip', 'mold', 'material', 'formation', 'control', 'record', 'symmetry', 'hip']"
1850,bring-dobj,"['fruit', 'child', 'bill', 'action', 'home', 'son', 'water', 'man', 'life', 'people', 'family', 'subject', 'book', 'horse', 'king', 'body']","[9901, 7204, 6516, 5246, 3781, 2982, 2775, 2418, 2247, 2228, 2030, 1932, 1822, 1610, 1607, 1571]","['equipment', 'worker', 'range', 'structure', 'area', 'student', 'library', 'car', 'lunch', 'shift']"
1850,bring-nsubj,"['action', 'arm', 'child', 'christ', 'earth', 'king', 'man', 'mother', 'people', 'person', 'post', 'ship', 'tree', 'water', 'wind', 'woman']","[900, 201, 273, 339, 815, 423, 1018, 209, 447, 217, 246, 212, 624, 446, 232, 277]","['reader', 'waitress', 'boat', 'student', 'carriage', 'sun', 'settler', 'cat', 'stork', 'patient']"
1850,bring-pobj_prep.into,"['contact', 'action', 'field', 'world', 'house', 'court', 'port', 'light', 'market', 'room', 'camp', 'church', 'place', 'form', 'connection', 'life']","[6112, 4086, 4084, 3087, 1683, 1402, 1178, 970, 751, 720, 645, 610, 570, 476, 413, 402]","['area', 'home', 'balance', 'cell', 'classroom', 'memory', 'open', 'building', 'range', 'movement']"
1850,bring-pobj_prep.to,"['light', 'justice', 'market', 'christ', 'place', 'point', 'ground', 'action', 'house', 'bar', 'life', 'level', 'king', 'door', 'camp', 'table']","[8003, 4046, 3863, 2024, 1984, 1893, 1868, 1858, 1550, 1509, 1267, 1263, 911, 901, 854, 788]","['classroom', 'site', 'japan', 'class', 'floor', 'reader', 'center', 'area', 'power', 'heel']"
1850,build-dobj,"['house', 'church', 'city', 'temple', 'fort', 'wall', 'nest', 'ship', 'palace', 'bridge', 'castle', 'tower', 'chapel', 'vessel', 'altar', 'fire']","[20569, 8198, 5056, 4775, 3785, 3346, 2947, 2519, 2252, 2104, 1792, 1589, 1436, 1283, 954, 902]","['car', 'image', 'network', 'model', 'movement', 'base', 'reserve', 'support', 'collection', 'plant']"
1850,burn-dobj,"['house', 'city', 'ship', 'body', 'book', 'wood', 'finger', 'vessel', 'paper', 'charcoal', 'temple', 'church', 'lime', 'bridge', 'fire', 'building']","[4898, 2016, 1251, 1189, 1134, 791, 612, 578, 561, 545, 489, 468, 440, 423, 411, 338]","['document', 'cross', 'garbage', 'area', 'rubber', 'station', 'car', 'patient', 'food', 'flag']"
1850,bury-pobj_prep.in,"['church', 'earth', 'cathedral', 'abbey', 'ruin', 'sand', 'ground', 'chapel', 'place', 'chancel', 'snow', 'vault', 'yard', 'hand', 'soil', 'garden']","[6548, 2387, 1916, 1862, 1546, 1535, 1482, 1457, 861, 780, 715, 669, 599, 523, 494, 406]","['area', 'box', 'file', 'hair', 'newspaper', 'paper', 'dirt', 'pile', 'park', 'layer']"
1850,buy-dobj,"['book', 'horse', 'bread', 'food', 'corn', 'clothes', 'wine', 'house', 'stock', 'meat', 'dear', 'wife', 'piece', 'bill', 'material', 'fish']","[2117, 1567, 1044, 1033, 937, 877, 780, 683, 526, 381, 329, 305, 292, 283, 265, 256]","['grocery', 'drink', 'computer', 'equipment', 'automobile', 'car', 'system', 'machinery', 'home', 'power']"
1850,call-dobj,"['son', 'man', 'friend', 'power', 'assembly', 'people', 'witness', 'master', 'father', 'brother', 'child', 'person', 'mother', 'church', 'fool', 'house']","[3212, 2513, 2305, 2126, 1580, 1561, 1393, 1194, 1188, 1136, 1079, 801, 669, 614, 588, 586]","['bluff', 'taxi', 'center', 'model', 'lawyer', 'card', 'ambulance', 'security', 'hospital', 'control']"
1850,call-nsubj,"['world', 'people', 'man', 'native', 'author', 'sailor', 'father', 'christ', 'friend', 'king', 'lawyer', 'ancient', 'lady', 'master', 'painter', 'doctor']","[2569, 1986, 1159, 649, 494, 468, 462, 460, 450, 409, 378, 282, 264, 234, 231, 220]","['thermostat', 'phone', 'local', 'family', 'system', 'scientist', 'student', 'trumpet', 'patient', 'bugle']"
1850,carry-dobj,"['point', 'arm', 'gun', 'measure', 'water', 'weight', 'home', 'baggage', 'place', 'power', 'child', 'captive', 'body', 'sail', 'head', 'person']","[5624, 5012, 4983, 4313, 4155, 2756, 2655, 2092, 1958, 1660, 1626, 1506, 1457, 1422, 1418, 1268]","['bomb', 'missile', 'suitcase', 'gear', 'objective', 'bouquet', 'revolver', 'briefcase', 'sign', 'camera']"
1850,carry-pobj_prep.to,"['place', 'house', 'market', 'prison', 'king', 'point', 'camp', 'castle', 'church', 'tower', 'court', 'bed', 'hospital', 'city', 'heart', 'port']","[1790, 1755, 1314, 1010, 918, 802, 591, 562, 428, 412, 410, 367, 359, 306, 267, 264]","['alcoholic', 'date', 'bedroom', 'organ', 'cell', 'corner', 'site', 'kitchen', 'car', 'sink']"
1850,cast-dobj,"['devil', 'anchor', 'stone', 'light', 'shade', 'yoke', 'iron', 'skin', 'net', 'cord', 'pearl', 'cannon', 'veil', 'body', 'line', 'cloud']","[3800, 2339, 1562, 1145, 936, 711, 584, 547, 470, 437, 404, 390, 323, 309, 291, 255]","['fig', 'actor', 'bucket', 'mold', 'film', 'concrete', 'material', 'pall', 'circle', 'director']"
1850,catch-dobj,"['fish', 'fire', 'hold', 'fly', 'bird', 'horse', 'prey', 'ear', 'trout', 'animal', 'mouse', 'ray', 'hand', 'light', 'whale', 'wind']","[4607, 1581, 1507, 1042, 871, 726, 637, 594, 512, 469, 385, 376, 343, 332, 328, 316]","['cab', 'guy', 'balance', 'bus', 'killer', 'wave', 'boat', 'plane', 'ride', 'home']"
1850,cause-dobj,"['alarm', 'ruin', 'water', 'body', 'person', 'failure', 'blood', 'action', 'fall', 'heart', 'man', 'light', 'movement', 'formation', 'rise', 'fire']","[1587, 679, 510, 395, 387, 383, 367, 353, 351, 334, 321, 258, 243, 242, 232, 212]","['level', 'circuit', 'area', 'drop', 'block', 'shift', 'hazard', 'sign', 'case', 'split']"
1850,change-dobj,"['place', 'course', 'form', 'subject', 'heart', 'horse', 'dress', 'face', 'clothes', 'system', 'side', 'habit', 'residence', 'master', 'ground', 'hand']","[5854, 3982, 3363, 2689, 2481, 2375, 2335, 2265, 1436, 1285, 1180, 1048, 917, 859, 780, 764]","['gear', 'set', 'school', 'model', 'diaper', 'setting', 'people', 'font', 'bit', 'sequence']"
1850,choose-dobj,"['place', 'president', 'officer', 'subject', 'king', 'representative', 'minister', 'person', 'speaker', 'wife', 'successor', 'life', 'ground', 'side', 'man', 'spot']","[2187, 1622, 1484, 1395, 1335, 1251, 1233, 1045, 974, 854, 718, 661, 611, 608, 573, 535]","['area', 'file', 'date', 'table', 'button', 'tool', 'setting', 'source', 'level', 'goal']"
1850,close-dobj,"['door', 'gate', 'book', 'life', 'mouth', 'action', 'window', 'subject', 'port', 'aperture', 'ear', 'lip', 'shutter', 'lid', 'sketch', 'valve']","[6326, 1186, 1091, 920, 875, 807, 470, 422, 411, 378, 356, 274, 272, 256, 235, 234]","['drawer', 'switch', 'friend', 'system', 'ring', 'document', 'contact', 'plant', 'loop', 'store']"
1850,clothe-pobj_prep.in,"['robe', 'garment', 'armour', 'purple', 'dress', 'garb', 'linen', 'skin', 'sackcloth', 'rag', 'apparel', 'mantle', 'costume', 'habit', 'coat', 'armor']","[2898, 2201, 1327, 1138, 1054, 1047, 947, 820, 760, 693, 439, 418, 415, 409, 398, 393]","['short', 'overcoat', 'jean', 'skirt', 'trouser', 'boot', 'clothing', 'overall', 'stocking', 'underwear']"
1850,collect-dobj,"['material', 'body', 'water', 'library', 'book', 'plant', 'gas', 'food', 'ray', 'store', 'arm', 'honey', 'horse', 'fruit', 'wood', 'cattle']","[4710, 873, 718, 668, 602, 555, 518, 394, 385, 340, 326, 323, 272, 261, 259, 238]","['bottle', 'mail', 'art', 'weapon', 'card', 'cell', 'stamp', 'garbage', 'clothes', 'bag']"
1850,come-nsubj,"['christ', 'man', 'king', 'people', 'son', 'enemy', 'flood', 'ship', 'father', 'person', 'world', 'friend', 'light', 'child', 'water', 'boat']","[8204, 6776, 3884, 3141, 2239, 1866, 1422, 1378, 1356, 1325, 1322, 1275, 1268, 1239, 1188, 1157]","['communist', 'ambulance', 'push', 'curtain', 'milk', 'meal', 'plane', 'bus', 'dad', 'truck']"
